id,code,name,full_name
l10n_latam_sv.10006,10006,"Comerciante","Comerciante"
l10n_latam_sv.10003,10003,"Estudiante","Estudiante"
l10n_latam_sv.10001,10001,"Empleados","Empleados"
l10n_latam_sv.10004,10004,"Desempleado","Desempleado"
l10n_latam_sv.10005,10005,"Otros","Otros"
l10n_latam_sv.10002,10002,"Pensionado","Pensionado"
l10n_latam_sv.13130,13130,"Acabado de productos textiles","Acabado de productos textiles"
l10n_latam_sv.97000,97000,"Actividad de los hogares en calidad de empleadores de personal doméstico","Actividad de los hogares en calidad de empleadores de personal doméstico"
l10n_latam_sv.66190,66190,"Actividades auxiliares de la intermediación financiera ncp","Actividades auxiliares de la intermediación financiera ncp"
l10n_latam_sv.66120,66120,"Actividades bursátiles (Corredores de Bolsa)","Actividades bursátiles (Corredores de Bolsa)"
l10n_latam_sv.81100,81100,"Actividades combinadas de mantenimiento de edificios e instalaciones","Actividades combinadas de mantenimiento de edificios e instalaciones"
l10n_latam_sv.90000,90000,"Actividades creativas artísticas y de esparcimiento","Actividades creativas artísticas y de esparcimiento"
l10n_latam_sv.65300,65300,"Actividades de administración de fondos","Actividades de administración de fondos"
l10n_latam_sv.84210,84210,"Actividades de administración y funcionamiento del Ministerio de Relaciones Exteriores","Actividades de administración y funcionamiento del Ministerio de Relaciones Exteriores"
l10n_latam_sv.82910,82910,"Actividades de agencias de cobro y oficinas de crédito","Actividades de agencias de cobro y oficinas de crédito"
l10n_latam_sv.79110,79110,"Actividades de agencias de viajes y organizadores de viajes; actividades de asistencia a turistas","Actividades de agencias de viajes y organizadores de viajes; actividades de asistencia a turistas"
l10n_latam_sv.66220,66220,"Actividades de agentes y corredores de seguros","Actividades de agentes y corredores de seguros"
l10n_latam_sv.55101,55101,"Actividades de alojamiento para estancias cortas","Actividades de alojamiento para estancias cortas"
l10n_latam_sv.9900,9900,"Actividades de apoyo a la explotación de minas y canteras","Actividades de apoyo a la explotación de minas y canteras"
l10n_latam_sv.9100,9100,"Actividades de apoyo a la extracción de petróleo y gas natural","Actividades de apoyo a la extracción de petróleo y gas natural"
l10n_latam_sv.82990,82990,"Actividades de apoyo empresariales ncp","Actividades de apoyo empresariales ncp"
l10n_latam_sv.87900,87900,"Actividades de asistencia a nifios y jóvenes","Actividades de asistencia a nifios y jóvenes"
l10n_latam_sv.88100,88100,"Actividades de asistencia sociales sin alojamiento para ancianos y discapacitados","Actividades de asistencia sociales sin alojamiento para ancianos y discapacitados"
l10n_latam_sv.94990,94990,"Actividades de asociaciones n.c.p.","Actividades de asociaciones n.c.p."
l10n_latam_sv.86902,86902,"Actividades de atención de la salud humana","Actividades de atención de la salud humana"
